Kontotransaktioner
Exportera till Excel Exportera till Excel     Skriv ut Skriv ut
 
Konto:	

Period fr o m:	

2015-01-01
          t o m:     
2016-01-08
    
 	Transaktionstyp:	

 	  Visa  
 	 	Kontoform:	Affärskonto
Saldo:	11 224,75	 	Clearingnummer:	XXXXXXXXX
 	 	Kontovillkor och IBAN

Konto: XXXXXXXXX  Period: 2015-01-01 till 2016-01-08  Transtyp: Alla  Belopp: Alla  Antal transaktioner: 24
Reskontradatum	 	Transaktionsdatum	 	Text	 	Belopp	 	Saldo
2016-01-01	 	2016-01-04	 	FÖRETAGSPAKET	 	-1 250,00	 	11 224,75
2015-12-14	 	2015-12-14	 	SKATTEVERKET	 	-4 000,00	 	12 474,75
2015-12-04	 	2015-12-04	 	BINERO AB	 	-119,00	 	16 474,75
2015-11-17	 	2015-11-17	 	SKATTEVERKET	 	-2 000,00	 	16 593,75
2015-11-09	 	2015-11-09	 	BINERO AB	 	-2 747,00	 	18 593,75
2015-10-12	 	2015-10-12	 	SKATTEVERKET	 	-4 200,00	 	21 340,75
2015-10-09	 	2015-10-09	 	SpeedLedger AB	 	-1 043,00	 	25 540,75
2015-09-14	 	2015-09-14	 	SKATTEVERKET	 	-4 200,00	 	26 583,75
2015-08-12	 	2015-08-12	 	SKATTEVERKET	 	-4 200,00	 	30 783,75
2015-07-20	 	2015-07-20	 	SpeedLedger AB	 	-1 088,00	 	34 983,75
2015-07-13	 	2015-07-13	 	SKATTEVERKET	 	-4 500,00	 	36 071,75
2015-06-12	 	2015-06-12	 	SKATTEVERKET	 	-5 000,00	 	40 571,75
2015-05-15	 	2015-05-15	 	SKATTEVERKET	 	-4 200,00	 	45 571,75
2015-05-05	 	2015-05-05	 	SKATTEVERKET	 	-17 483,00	 	49 771,75
2015-04-13	 	2015-04-13	 	SKATTEVERKET	 	-5 000,00	 	67 254,75
2015-04-10	 	2015-04-10	 	SpeedLedger AB	 	-1 043,00	 	72 254,75
2015-03-13	 	2015-03-13	 	SKATTEVERKET	 	-5 000,00	 	73 297,75
2015-02-16	 	2015-02-16	 	SKATTEVERKET	 	-5 000,00	 	78 297,75
2015-01-28	 	2015-01-28	 	00000008889305	 	72 157,00	 	83 297,75
2015-01-22	 	2015-01-22	 	Dustin AB	 	-12 570,00	 	11 140,75
2015-01-20	 	2015-01-20	 	SKATTEVERKET	 	-931,00	 	23 710,75
2015-01-09	 	2015-01-09	 	SURFTOWN A/S	 	-1 353,00	 	24 641,75
2015-01-09	 	2015-01-09	 	SpeedLedger AB	 	-563,00	 	25 994,75
2015-01-01	 	2015-01-02	 	FÖRETAGSPAKET	 	-1 250,00	 	26 557,75
